country,city,hotel_name,hotel_address
France,Paris,Hotel La Lanterne,12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France
France,Paris,Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France
France,Paris,Hotel Le Chat Noir,68 Boulevard De Clichy 18th arr 75018 Paris France
France,Paris,Hotel Le Mareuil,51 Rue de Malte 11th arr 75011 Paris France
France,Paris,Hotel Le Placide Saint Germain Des Pr s,6 Rue Saint Placide 6th arr 75006 Paris France
France,Paris,Hotel Le Sainte Beuve,9 Rue Sainte Beuve 6th arr 75006 Paris France
France,Paris,Hotel Le Squara,3 rue Lepic 18th arr 75018 Paris France
France,Paris,Hotel Le petit Paris,214 rue Saint Jacques 5th arr 75005 Paris France
France,Paris,Hotel Les Rives de Notre Dame,15 Quai Saint Michel 5th arr 75005 Paris France
France,Paris,Hotel Les Th tres,98 Rue De Clery 2nd arr 75002 Paris France
France,Paris,Hotel Louvre Montana,12 rue Saint Roch 1st arr 75001 Paris France
France,Paris,Hotel Lumen Paris Louvre,15 Rue Des Pyramides 1st arr 75001 Paris France
France,Paris,Hotel Maison Ath n e,19 Rue De Caumartin 9th arr 75009 Paris France
France,Paris,Hotel Maison FL,6 Rue De La Tour 16th arr 75016 Paris France
France,Paris,Hotel Marignan Champs Elys es,12 rue de Marignan 8th arr 75008 Paris France
France,Paris,Hotel Mercure La Sorbonne Saint Germain des Pr s,14 Rue de la Sorbonne 5th arr 75005 Paris France
France,Paris,Hotel Montaigne,6 Avenue Montaigne 8th arr 75008 Paris France
France,Paris,Hotel Odeon Saint Germain,13 rue Saint Sulpice 6th arr 75006 Paris France
France,Paris,Hotel Op ra Richepanse,14 Rue du Chevalier de Saint George 1st arr 75001 Paris France
France,Paris,Hotel Opera Cadet,24 rue Cadet 9th arr 75009 Paris France
France,Paris,Hotel Panache,1 rue Geoffroy Marie 9th arr 75009 Paris France
France,Paris,Hotel Parc Saint Severin Esprit de France,22 Rue de La Parcheminerie 5th arr 75005 Paris France
France,Paris,Hotel Park Lane Paris,4 Rue La Boetie 8th arr 75008 Paris France
France,Paris,Hotel Plaza Elys es,177 Boulevard Haussmann 8th arr 75008 Paris France
France,Paris,Hotel Pulitzer Paris,23 rue du Faubourg Montmartre 9th arr 75009 Paris France
France,Paris,Hotel Royal Elys es,6 Avenue Victor Hugo 16th arr 75116 Paris France
France,Paris,Hotel Saint Petersbourg Opera,35 Rue Caumartin 9th arr 75009 Paris France
France,Paris,Hotel Scribe Paris Opera by Sofitel,1 Rue Scribe 9th arr 75009 Paris France
France,Paris,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,22 Rue Danielle Casanova 1st arr 75002 Paris France
France,Paris,Hotel The Peninsula Paris,19 avenue Kleber 16th arr 75116 Paris France
France,Paris,Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006 Paris France
France,Paris,Hotel Vignon,23 Rue Vignon 8th arr 75008 Paris France
France,Paris,Hotel Villa Saxe Eiffel,9 Villa de Saxe 7th arr 75007 Paris France
France,Paris,Hotel West End,7 rue Cl ment Marot 8th arr 75008 Paris France
France,Paris,Hotel d Orsay Esprit de France,93 Rue de Lille 7th arr 75007 Paris France
France,Paris,Hotel de Seze,16 rue de S ze 9th arr 75009 Paris France
France,Paris,Hotel des Tuileries Relais du Silence,10 rue Saint Hyacinthe 1st arr 75001 Paris France
France,Paris,Hotel du Collectionneur Arc de Triomphe,51 57 rue de Courcelles 8th arr 75008 Paris France
France,Paris,Hotel du Louvre in the Unbound Collection by Hyatt,Place Andr Malraux 1st arr 75001 Paris France
France,Paris,Hotel du Petit Moulin,29 31 rue de Poitou 3rd arr 75003 Paris France
France,Paris,Hotel le Lapin Blanc,41 boulevard Saint Michel 5th arr 75005 Paris France
France,Paris,Hyatt Regency Paris Etoile,3 Place du G n ral Koenig 17th arr 75017 Paris France
France,Paris,Idol Hotel,16 rue d Edimbourg 8th arr 75008 Paris France
